93,19,72
71,65,51
4,1,52
85,87,13
95,11,75
50,84,73
99,67,8
6,46,25
98,26,31
13,68,79
71,65,19
13,7,5
31,5,33
64,39,16
40,77,65
57,68,90
21,70,74
10,87,44
64,96,65
27,33,40
56,94,6
16,38,2
55,21,24
21,94,15
53,19,33
1,20,13
28,28,2
38,55,81
63,51,79
4,97,59
6,3,4
19,62,57
26,98,93
49,79,44
26,10,82
46,7,66
9,8,75
59,51,98
76,92,60
90,5,66
40,39,92
11,6,80
91,58,94
60,10,6
44,90,8
83,22,45
35,83,68
9,63,61
30,26,24
76,19,95
79,85,54
83,78,15
61,49,2
64,83,48
51,71,1
46,32,57
84,45,55
94,21,12
80,68,68
87,12,65
88,67,92
36,92,37
19,9,64
75,21,56
7,10,6
36,70,83
62,98,95
19,7,88
60,49,33
70,94,11
33,25,51
30,63,91
86,72,38
51,88,83
67,14,84
39,35,4
68,25,11
35,38,5
32,64,51
26,56,24
34,77,23
67,55,41
73,42,57
77,9,96
14,37,88
13,12,80
62,55,73
33,66,51
9,80,2
93,54,36
10,19,24
60,74,39
71,23,68
85,93,17
66,60,4
9,62,65
30,90,80
62,27,89
93,8,21
46,18,39
54,64,59
42,53,96
